,Unnamed: 0,name,latitude,longitude,timestamp,free_bikes,empty_slots,renting,returning,ebikes,station_id,Bar,Bar/Restaurant,Other,Park,Restaurant
203,203,Granby St / Church St - SMART,43.6614605,-79.37894570000002,2025-07-29,9,15,1,1,0,203,3,0,2,0,5
204,204,Vaughan Rd /Wychwood Ave,43.6882821,-79.4253856,2025-07-29,4,15,1,1,4,204,0,0,1,1,8
205,205,Spadina Ave / Sullivan St,43.65082785552666,-79.39698099821702,2025-07-29,1,18,1,1,0,205,0,0,3,1,6
206,206,Jarvis St / Carlton St,43.66207,-79.37617,2025-07-29,7,6,1,1,0,206,3,0,2,0,5
207,207,Mallaby Park ,43.706191092397106,-79.53262795581969,2025-07-29,0,14,1,1,0,207,0,0,0,2,8
208,208,Bathurst St / Lennox St,43.663808,-79.410491,2025-07-29,3,16,1,1,0,208,1,1,1,1,6
209,209,1303 Yonge St - SMART,43.6846177,-79.39245919999999,2025-07-29,2,14,1,1,1,209,1,0,0,3,6
210,210,Palmerston Ave / Vermont Ave,43.671389,-79.416389,2025-07-29,6,9,1,1,2,210,0,1,0,3,6
211,211,Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,2025-07-29,7,10,1,1,0,211,3,2,1,2,2
212,212,York St / Queens Quay W,43.640132,-79.380464,2025-07-29,52,1,1,1,0,212,0,2,0,3,5
213,213,Gamble Ave / Broadview Ave,43.689211,-79.35438,2025-07-29,18,3,1,1,4,213,0,0,0,1,9
214,214,Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486,2025-07-29,1,7,1,1,0,214,2,0,1,1,6
215,215,St. Columba Pl / St. Clair Ave E,43.70567,-79.310554,2025-07-29,3,14,1,1,1,215,2,0,0,2,6
